small cell lung carcinoma	hsa-mir-378g
toxoplasmosis	hsa-mir-449c
hypopharyngeal neoplasms	hsa-mir-362
cardiomyopathies	hsa-mir-363
pancreatic neoplasms	hsa-mir-508
stomach neoplasms	hsa-mir-124
hiv	hsa-mir-506
fibrosis	hsa-mir-520a
endometrial neoplasms	hsa-mir-27a
muscular disorders, atrophic	hsa-mir-221
central nervous system diseases	hsa-mir-206
schistosomiasis	hsa-mir-767
osteoarthritis	hsa-mir-26b
liver diseases, alcoholic	hsa-mir-512
carcinoma, embryonal	hsa-mir-27b
colon neoplasms	hsa-mir-1915
carcinoma	hsa-mir-365b
kidney failure, chronic	hsa-mir-375
child development disorders, pervasive	hsa-mir-339
lymphoproliferative disorders	hsa-mir-378a
leukemia, promyelocytic, acute	hsa-mir-134
lung diseases, interstitial	hsa-mir-211
helplessness, learned	hsa-mir-557
adenoviridae infections	hsa-mir-660
stomach diseases	hsa-mir-423
biliary tract neoplasms	hsa-mir-633
ischemic preconditioning	hsa-mir-548c
salivary gland neoplasms	hsa-mir-146a
supranuclear palsy, progressive	hsa-mir-222
neutropenia	hsa-mir-497
renal insufficiency	hsa-mir-506
hiv-1	hsa-mir-370
sepsis	hsa-mir-1301
giant cell tumors	hsa-mir-342
coronary artery disease	hsa-mir-3940
lymphoproliferative disorders	hsa-mir-638
aids dementia complex	hsa-mir-873
myasthenia gravis	hsa-mir-3186
burns	hsa-mir-10b
leukemia, myelogenous, chronic, bcr-abl positive	hsa-mir-301a
wounds and injuries	hsa-mir-515
hpv infection	hsa-mir-502
lung diseases, interstitial	hsa-mir-1469
liver cirrhosis, biliary	hsa-mir-1245a
carcinoma, endometrioid	hsa-mir-367
retinal neovascularization	hsa-mir-129
biliary tract neoplasms	hsa-mir-506
frontotemporal lobar degeneration	hsa-mir-1184
liver failure	hsa-mir-550a
scleroderma, localized	hsa-mir-2355
myocarditis	hsa-mir-454
thyroid neoplasms	hsa-mir-154
cervical neoplasms	hsa-mir-593
behcet syndrome	hsa-mir-3130
granulosa cell tumor	hsa-mir-544a
leukemia, b-cell	hsa-mir-1179
asthma	hsa-mir-598
cystitis, interstitial	hsa-mir-760
sarcoma, kaposi	hsa-mir-485
nephrosclerosis	hsa-mir-4306
neoplasms, glandular and epithelial	hsa-mir-335
helplessness, learned	hsa-mir-320e
liver neoplasms	hsa-mir-592
helplessness, learned	hsa-mir-640
supranuclear palsy, progressive	hsa-mir-191
lichen planus, oral	hsa-mir-1273a
liver cirrhosis, biliary	hsa-mir-718
liver cirrhosis, biliary	hsa-mir-1258
tourette syndrome	hsa-mir-648
lymphoma, b-cell	hsa-mir-1234
hepatoblastoma	hsa-mir-23a
cerebral infarction	hsa-mir-1231
radiation injuries	hsa-mir-769
cholangiocarcinoma	hsa-mir-497
testicular neoplasms	hsa-mir-381
giant cell tumors	hsa-mir-411
carcinoma, basal cell	hsa-mir-22
endothelium, vascular	hsa-mir-519a
hamartoma syndrome, multiple	hsa-mir-150
lymphoma, mantle-cell	hsa-mir-20b
acute lung injury	hsa-mir-18a
cerebral hemorrhage	hsa-mir-378b
frontotemporal lobar degeneration	hsa-mir-450a
crohn disease	hsa-mir-487b
esophageal neoplasms	hsa-mir-520h
inflammation	hsa-mir-589
schistosomiasis	hsa-mir-520h
esophageal neoplasms	hsa-mir-765
ischemia	hsa-mir-302d
hemangiosarcoma	hsa-mir-1293
spinal cord injuries	hsa-mir-1181
azoospermia	hsa-mir-628
kidney failure, chronic	hsa-mir-130b
diabetes complications	hsa-mir-32
lupus vulgaris	hsa-mir-451a
pheochromocytoma	hsa-mir-139
neoplasms, germ cell and embryonal	hsa-mir-520d
colonic neoplasms	hsa-mir-490
hepatitis	hsa-mir-1260a
aids dementia complex	hsa-mir-374b
glomerulonephritis, iga	hsa-mir-657
adrenal cortex neoplasms	hsa-mir-105
liver cirrhosis, biliary	hsa-mir-26
hamartoma syndrome, multiple	hsa-mir-455
laryngeal neoplasms	hsa-mir-640
vitiligo	hsa-mir-1258
leukemia, myeloid	hsa-mir-520a
diabetic nephropathies	hsa-mir-95
hpv infection	hsa-mir-566
osteoarthritis	hsa-mir-567
stomach neoplasms 	hsa-mir-26
colitis	hsa-mir-26a
burns	hsa-mir-539
creutzfeldt-jakob syndrome	hsa-mir-208a
chordoma	hsa-mir-584
encephalomyelitis, autoimmune, experimental	hsa-mir-497
brain ischemia	hsa-mir-608
fragile x syndrome	hsa-mir-151a
hiv infection	hsa-mir-191
arthritis, psoriatic	hsa-mir-1181
hpv infection	hsa-mir-663a
ovarian neoplasms	hsa-mir-515
pemphigus, benign familial	hsa-mir-1
erythropoiesis	hsa-mir-624
glomerulonephritis, iga	hsa-mir-422a
myocardium	hsa-mir-660
prostate neoplasms	hsa-mir-194
sjogren's syndrome	hsa-mir-204
aortic aneurysm, abdominal	hsa-mir-376c
inflammation	hsa-mir-212
schistosomiasis	hsa-mir-3130
diabetes complications	hsa-mir-544b
hyperglycemia	hsa-mir-766
colitis	hsa-mir-378d
stomach neoplasms 	hsa-mir-191
multiple endocrine neoplasia type 1	hsa-mir-29b
cocaine-related disorders	hsa-mir-301a
musculoskeletal abnormalities	hsa-mir-617
liver neoplasms	hsa-mir-520a
prion diseases	hsa-mir-659
hepatitis c	hsa-mir-126
siv infection	hsa-mir-18b
heart diseases	hsa-mir-518b
eye abnormalities	hsa-mir-603
salivary gland neoplasms	hsa-mir-521
schizophrenia	hsa-mir-668
anoxia	hsa-mir-548c
kidney diseases	hsa-mir-494
lupus erythematosus, systemic	hsa-mir-370
lymphoma, large b-cell, diffuse	hsa-mir-26
neoplasms, glandular and epithelial	hsa-mir-561
burkitt lymphoma	hsa-mir-1293
aortic valve stenosis	hsa-mir-422a
diabetes mellitus, type 1	hsa-mir-518e
myocardium	hsa-mir-137
neoplasms	hsa-mir-320b
cystitis, interstitial	hsa-mir-335
intervertebral disk	hsa-mir-575
inflammatory bowel diseases	hsa-mir-299
fatty liver, non-alcoholic	hsa-mir-378d
granulosa cell tumor	hsa-mir-624
influenza, human	hsa-mir-382
intellectual disability	hsa-mir-621
esophageal neoplasms	hsa-mir-629
erythropoiesis	hsa-mir-132
tourette syndrome	hsa-mir-141
osteosarcoma	hsa-mir-365a
choriocarcinoma	hsa-mir-182
glioma	hsa-mir-933
colitis	hsa-mir-485
colon neoplasms	hsa-mir-572
astrocytoma	hsa-mir-185
leukemia-lymphoma, adult t-cell	hsa-mir-122
psychotic disorders	hsa-mir-100
diabetic nephropathies	hsa-mir-425
nephrosclerosis	hsa-mir-490
liver cirrhosis	hsa-mir-130b
long qt syndrome	hsa-mir-197
adenocarcinoma	hsa-mir-641
liposarcoma	hsa-mir-19b
glioblastoma 	hsa-mir-767
periodontitis	hsa-mir-1275
muscular dystrophy, duchenne	hsa-mir-519b
neuroma, acoustic	hsa-mir-582
carcinoma, small cell	hsa-mir-1254
nervous system diseases	hsa-mir-608
acth-secreting pituitary adenoma	hsa-mir-383
crohn disease	hsa-mir-1287
pulmonary disease, chronic obstructive	hsa-mir-1275
prrsv infection	hsa-mir-504
multiple endocrine neoplasia type 1	hsa-mir-410
sjogren's syndrome	hsa-mir-217
anxiety disorders	hsa-mir-519e
hypertrophy	hsa-mir-571
colonic neoplasms	hsa-mir-101
nerve sheath neoplasms	hsa-mir-513a
brain ischemia	hsa-mir-582
aids dementia complex	hsa-mir-145
graft vs host disease	hsa-mir-19b
brain neoplasms	hsa-mir-1258
brain ischemia	hsa-mir-216a
albuminuria	hsa-mir-135a
leukemia, myeloid	hsa-mir-381
autoimmune diseases	hsa-mir-629
ovarian neoplasms	hsa-mir-411
leukemia, biphenotypic, acute	hsa-mir-96
prion diseases	hsa-mir-26
acute coronary syndrome	hsa-mir-210
sarcoma, ewing	hsa-mir-548a
myotonic dystrophy	hsa-mir-544b
arthritis, psoriatic	hsa-mir-569
aortic valve insufficiency	hsa-mir-632
adenoviridae infections	hsa-mir-491
hearing loss	hsa-mir-513c
acth-secreting pituitary adenoma	hsa-mir-655
colorectal neoplasms	hsa-mir-151b
acth-secreting pituitary adenoma	hsa-mir-105
brain neoplasms	hsa-mir-23a
eosinophilic esophagitis	hsa-mir-1275
asthma	hsa-mir-654
nevus, pigmented	hsa-mir-527
arthritis, psoriatic	hsa-mir-198
hbv infection	hsa-mir-323a
hypopharyngeal neoplasms	hsa-mir-486
autoimmune diseases	hsa-mir-552
schistosomiasis	hsa-mir-632
atrophy	hsa-mir-128
rna virus infections	hsa-mir-571
leprosy	hsa-mir-1299
wounds and injuries	hsa-mir-450b
stroke	hsa-mir-372
musculoskeletal abnormalities	hsa-mir-660
myocardial ischemia	hsa-mir-485
hepatoblastoma	hsa-mir-92b
carcinoma, renal cell	hsa-mir-369
endothelium, vascular	hsa-mir-720
lymphoma, t-cell	hsa-mir-1273c
myocardial reperfusion injury	hsa-mir-660
osteosarcoma	hsa-mir-571
leprosy	hsa-mir-30b
arthritis, psoriatic	hsa-mir-648
encephalomyelitis, autoimmune, experimental	hsa-mir-661
diabetes mellitus	hsa-mir-329
muscular dystrophy, facioscapulohumeral	hsa-mir-93
digestive system neoplasms	hsa-mir-103b
synapses	hsa-mir-153
sarcoma, kaposi	hsa-mir-4306
small cell lung carcinoma	hsa-mir-498
acute coronary syndrome	hsa-mir-27b
influenza, human	hsa-mir-143
behcet syndrome	hsa-mir-1260a
atrial fibrillation	hsa-mir-29a
carcinoma, renal cell	hsa-mir-633
toxoplasmosis	hsa-mir-30d
ovarian neoplasms	hsa-mir-195
fibrosis	hsa-mir-516a
lymphoma, t-cell	hsa-mir-638
intracranial aneurysm	hsa-mir-139
retinal neovascularization	hsa-mir-526a
pituitary adenomas	hsa-mir-513c
cryptosporidium	hsa-mir-519b
leukemia, acute	hsa-mir-520f
lymphoma, large b-cell, diffuse	hsa-mir-92a
leukemia, lymphoblastic, chronic	hsa-mir-433
hypertension	hsa-mir-188
erythropoiesis	hsa-mir-103b
vitiligo	hsa-mir-1469
crohn disease	hsa-mir-363
myopia	hsa-mir-20b
inflammation	hsa-mir-574
adrenocortical carcinoma	hsa-mir-495
mouth neoplasms	hsa-mir-454
dyslipidemias	hsa-mir-487b
creutzfeldt-jakob syndrome	hsa-mir-572
pheochromocytoma	hsa-mir-495
multiple myeloma	hsa-mir-15b
scleroderma, localized	hsa-mir-223
dementia	hsa-mir-1266
adrenocortical carcinoma	hsa-mir-539
colon neoplasms	hsa-mir-449a
nephrosclerosis	hsa-mir-487b
burkitt lymphoma	hsa-mir-1207
gerstmann-straussler-scheinker disease	hsa-mir-498
mesothelioma	hsa-mir-520a
inflammatory bowel diseases	hsa-mir-519b
scleroderma, systemic	hsa-mir-451
lymphoma, mantle-cell	hsa-mir-296
eczema	hsa-mir-124a
uterine cervical neoplasms	hsa-mir-7
crohn disease	hsa-mir-374a
hiv infection	hsa-mir-1245a
head and neck neoplasms	hsa-mir-378g
arrhythmias, cardiac	hsa-mir-302c
retinoblastoma	hsa-mir-365b
stroke	hsa-mir-15b
hyperlipidemias	hsa-mir-1303
schistosomiasis	hsa-mir-122
gout	hsa-mir-362
pulmonary disease, chronic obstructive	hsa-mir-483
myocardial infarction	hsa-mir-1233
amyotrophic lateral sclerosis	hsa-mir-501
infertility, male	hsa-mir-1299
muscular dystrophies	hsa-mir-655
keloid	hsa-mir-139
meningioma	hsa-mir-500a
muscular dystrophies	hsa-mir-525
sjogren's syndrome	hsa-mir-671
biliary tract neoplasms	hsa-mir-323a
polycystic kidney diseases	hsa-mir-1202
myeloproliferative disorders	hsa-mir-378a
lymphoma	hsa-mir-885
pituitary adenomas	hsa-mir-140
cystitis, interstitial	hsa-mir-516a
muscular dystrophy, facioscapulohumeral	hsa-mir-1287
gout	hsa-mir-378e
hepatitis	hsa-mir-203
anemia, sickle cell	hsa-mir-567
chlamydia infections	hsa-mir-501
leukemia, myeloid, acute	hsa-mir-495
nerve sheath neoplasms	hsa-mir-196a
muscular dystrophy, duchenne	hsa-mir-329
carcinoma, endometrioid	hsa-mir-1
odontogenic tumors	hsa-mir-184
glomerulonephritis, iga	hsa-mir-383
endomyocardial fibrosis	hsa-mir-378c
graft vs host disease	hsa-mir-105
liver neoplasms	hsa-mir-103a
cerebral hemorrhage	hsa-mir-181b
lupus nephritis	hsa-mir-28
hypopharyngeal neoplasms	hsa-mir-191
stomach neoplasms 	hsa-mir-569
lymphoma, large b-cell, diffuse	hsa-mir-766
fibroblasts	hsa-mir-545
fibrosarcoma	hsa-mir-885
hodgkin disease	hsa-mir-548b
leukemia, lymphoblastic, chronic	hsa-mir-593
schistosomiasis	hsa-mir-10a
sarcoma, ewing	hsa-mir-509
retinal degeneration	hsa-mir-409
cystic fibrosis	hsa-mir-1
liver diseases	hsa-mir-181d
waldenstrom macroglobulinemia	hsa-mir-933
neurilemmoma	hsa-mir-1827
hypopharyngeal neoplasms	hsa-mir-20b
pancreatic neoplasms	hsa-mir-663a
chondrodysplasia punctata	hsa-mir-21
chondrodysplasia punctata	hsa-mir-1247
pain	hsa-mir-1231
vascular diseases	hsa-mir-137
leukemia, myeloid	hsa-mir-640
colitis, ulcerative	hsa-mir-1287
fatty liver, non-alcoholic	hsa-mir-1234
myeloproliferative disorders	hsa-mir-299
cerebellar neoplasms	hsa-mir-455
nasopharyngeal neoplasms	hsa-mir-211
hepatitis c, chronic	hsa-mir-329
endometriosis	hsa-mir-196a
lymphoma	hsa-mir-378g
pancreatic neoplasms	hsa-mir-194
glomerulonephritis	hsa-mir-4306
myocardial infarction	hsa-mir-296
giant cell tumors	hsa-mir-371
carcinoma, renal cell	hsa-mir-3148
myocytes, cardiac	hsa-mir-3163
biliary tract neoplasms	hsa-mir-632
aortic aneurysm, thoracic	hsa-mir-448
breast neoplasms	hsa-mir-603
pulmonary disease, chronic obstructive	hsa-mir-105
pulmonary embolism	hsa-mir-190a
colorectal neoplasms	hsa-mir-514a
inflammation	hsa-mir-423
neutropenia	hsa-mir-498
lymphoproliferative disorders	hsa-mir-9
pulmonary disease, chronic obstructive	hsa-mir-1280
mouth neoplasms	hsa-mir-320c
mouth neoplasms	hsa-mir-571
neurilemmoma	hsa-mir-1299
parkinson disease	hsa-mir-572
lung diseases, interstitial	hsa-mir-24
nasopharyngeal neoplasms	hsa-mir-638
glomerulonephritis, iga	hsa-mir-662
hemangioma	hsa-mir-711
pemphigus, benign familial	hsa-mir-499b
barrett esophagus	hsa-mir-125b
anoxia	hsa-mir-148b
eczema	hsa-mir-153
arthritis, psoriatic	hsa-mir-557
biliary atresia	hsa-mir-592
medulloblastoma	hsa-mir-449c
hypertrophy	hsa-mir-92b
hodgkin disease	hsa-mir-200a
eclampsia	hsa-mir-1286
amyotrophic lateral sclerosis	hsa-mir-372
lupus nephritis	hsa-mir-517c
muscular dystrophy, duchenne	hsa-mir-374a
mouth neoplasms	hsa-mir-513c
sarcoma, synovial	hsa-mir-324
myotonic dystrophy	hsa-mir-27a
hyperglycemia	hsa-mir-1290
rhinitis, allergic, perennial	hsa-mir-376b
trophoblasts	hsa-mir-424
autoimmune diseases	hsa-mir-136
sezary syndrome	hsa-mir-211
diabetic nephropathies	hsa-mir-642a
prostate neoplasms	hsa-mir-328
arthritis	hsa-mir-1245a
hodgkin disease	hsa-mir-378g
aids dementia complex	hsa-mir-378d
dermatitis, atopic	hsa-mir-451b
myotonic dystrophy	hsa-mir-143
acth-secreting pituitary adenoma	hsa-mir-320a
biliary tract neoplasms	hsa-mir-152
chondrodysplasia punctata	hsa-mir-30d
lupus nephritis	hsa-mir-520b
cardiomegaly	hsa-mir-196b
pemphigus, benign familial	hsa-mir-369
hepatoblastoma	hsa-mir-330
granulosa cell tumor	hsa-mir-125a
inflammatory bowel diseases	hsa-mir-331
ovarian neoplasms	hsa-mir-516b
hematologic neoplasms	hsa-mir-320e
kidney neoplasms	hsa-let-7e
supranuclear palsy, progressive	hsa-mir-519e
eczema	hsa-mir-30d
hemangioma	hsa-mir-765
schizophrenia	hsa-mir-590
aging	hsa-mir-654
rna virus infections	hsa-mir-1245b
pemphigus, benign familial	hsa-mir-127
reperfusion injury	hsa-mir-1180
fanconi anemia	hsa-mir-519a
multiple myeloma	hsa-mir-590
astrocytoma	hsa-mir-522
lymphoma	hsa-mir-128
creutzfeldt-jakob syndrome	hsa-mir-93
chlamydia infections	hsa-mir-371
osteosarcoma	hsa-mir-514a
polycystic kidney diseases	hsa-mir-33b
reperfusion injury	hsa-mir-450b
tourette syndrome	hsa-mir-153
carcinoma, basal cell	hsa-mir-3163
precursor t-cell lymphoblastic leukemia-lymphoma	hsa-mir-766
hypertension	hsa-mir-302e
asthma	hsa-mir-432
osteosarcoma 	hsa-mir-642a
diabetic nephropathies	hsa-mir-2110
biliary atresia	hsa-mir-3130
gout	hsa-mir-203
fibrosarcoma	hsa-mir-487b
